dof_id,euring_id,species_euring_id,latin,common,type,iucn,iba_amnt,times_seen,breeding_status,last_confirmed_breeding,invasive,Atlas_III_squares_with_breeding,use_in_analysis
2836,15630,15630,Corvus frugilegus,Rook,species,LC,NA,41794,Regular,2017,NA,865,1
2842,15671,15671,Corvus corone,Carrion Crow,species,LC,NA,1906,Regular,2017,NA,211,1
2844,15673,15673,Corvus cornix,Hooded Crow,species,LC,NA,154090,Regular,2017,NA,1875,1
2854,15720,15720,Corvus corax,Northern Raven,species,LC,NA,7695,Regular,2017,NA,1158,1
2872,15820,15820,Sturnus vulgaris,Common Starling,species,LC,NA,53217,Regular,2017,NA,1981,1
2883,15910,15910,Passer domesticus,House Sparrow,species,LC,NA,29497,Regular,2017,NA,1916,1
2901,15980,15980,Passer montanus,Eurasian Tree Sparrow,species,LC,NA,31929,Regular,2017,NA,1991,1
2962,16360,16360,Fringilla coelebs,Common Chaffinch,species,LC,NA,165046,Regular,2017,NA,2136,1
2975,16380,16380,Fringilla montifringilla,Brambling,species,LC,NA,6107,Occasional,1974,NA,0,1
2979,16400,16400,Serinus serinus,European Serin,species,LC,NA,9,Regular,2017,NA,16,1
2990,16490,16490,Chloris chloris,European Greenfinch,species,LC,NA,44207,Regular,2017,NA,2051,1
2997,16530,16530,Carduelis carduelis,European Goldfinch,species,LC,NA,6812,Regular,2017,NA,1590,1
3003,16540,16540,Spinus spinus,Eurasian Siskin,species,LC,NA,10605,Regular,2017,NA,197,1
3009,16600,16600,Linaria cannabina,Common Linnet,species,LC,NA,15863,Regular,2017,NA,1802,1
3017,16620,16620,Linaria flavirostris,Twite,species,LC,NA,581,NA,NA,NA,NA,0
3022,16635,16635,Acanthis cabaret,Lesser Redpoll,species,LC,NA,477,Regular,2017,NA,1018,1
3024,16640,16640,Acanthis hornemanni,Arctic Redpoll,species,LC,NA,6,NA,NA,NA,NA,0
3028,16650,16650,Loxia leucoptera,Two-barred Crossbill,species,LC,NA,20,Occasional,2015,NA,5,1
3030,16660,16660,Loxia curvirostra,Red Crossbill,species,LC,NA,6360,Regular,2017,NA,334,1
3036,16680,16680,Loxia pytyopsittacus,Parrot Crossbill,species,LC,NA,102,Occasional,2017,NA,3,1
3055,16790,16790,Carpodacus erythrinus,Common Rosefinch,species,LC,NA,284,NA,NA,NA,38,1
3088,17100,17100,Pyrrhula pyrrhula,Eurasian Bullfinch,species,LC,NA,15664,Regular,2017,NA,1377,1
3100,17170,17170,Coccothraustes coccothraustes,Hawfinch,species,LC,NA,2855,Regular,2017,NA,731,1
3257,18470,18470,Calcarius lapponicus,Lapland Longspur,species,LC,NA,30,NA,NA,NA,NA,0
3261,18500,18500,Plectrophenax nivalis,Snow Bunting,species,LC,NA,238,NA,NA,NA,NA,0
3276,18570,18570,Emberiza citrinella,Yellowhammer,species,LC,NA,92251,Regular,2017,NA,2113,1
3314,18770,18770,Emberiza schoeniclus,Common Reed Bunting,species,LC,NA,11369,Regular,2017,NA,1681,1
3327,18820,18820,Emberiza calandra,Corn Bunting,species,LC,NA,10009,Regular,2017,NA,1389,1
3631,16634,16634,Acanthis flammea,Common Redpoll,species,LC,NA,244,NA,NA,NA,NA,0
3763,35670,35670,Pavo cristatus,Indian Peafowl,species,LC,NA,3,NA,NA,NA,NA,0
