"id"	"old_artnr"	"artnr"	"overartnr"	"artnavn"	"latin"	"english"	"dk"	"datsy"	"arttype"	"sortering"	"hbw"	"iucn"	"redlist"	"yellowlist"	"bilag_1"	"spec"	"KOORDINATORID"	"sv"	"pkt"	"ibaantal"	"shortcut1"	"shortcut2"	"fra"	"til"	"season"	"vis"
3712	NA	"24997"	NA	"Burfugl sp."	"Cage bird sp."	"Cage bird sp."	"H"	0	"ubestemt"	7800	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3713	NA	"24998"	NA	"Hybrid sp."	"Hybrid"	"Hybrid"	"H"	0	"hybrid"	7810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3714	NA	"AM113"	"AM113"	"Grøn Frø han/Latterfrø hun"	"Rana esculenta/- ridibunda"	"Edible Frog male/Marsh Frog female"	"X"	0	"andre_dyr"	8010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3715	NA	"LE247"	"LE247"	"Gammaugle"	"Autographa gamma"	"Silver Y"	"X"	0	"andre_dyr"	9440	NA	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3716	NA	"MA081"	"MA081"	"Los"	"Felis lynx"	"Lynx"	"X"	0	"andre_dyr"	10410	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3717	NA	"01591"	"01590"	"Blisgås (ssp. albifrons)"	"Anser albifrons albifrons"	"Greater White-fronted Goose (ssp. albifrons)"	"A"	0	"underart"	410	NA	"LC"	NA	NA	"X"	NA	NA	NA	NA	NA	NA	NA	"6"	"9"	"S"	0
3718	NA	"05321"	"05320"	"Stor Kobbersneppe (ssp. limosa)"	"Limosa limosa limosa"	"Black-tailed Godwit (ssp. limosa)"	"A"	0	"underart"	2710	NA	"NT"	"VU"	NA	NA	NA	NA	NA	NA	790	NA	NA	"3"	"9"	"V"	0
3719	NA	"05901"	"05900"	"Stormmåge (ssp. canus)"	"Larus canus canus"	"Mew Gull (ssp. canus)"	"A"	0	"underart"	3680	NA	"LC"	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3720	NA	"06361"	"06360"	"Alk, Nordlig (ssp. torda)"	"Alca torda torda"	"Razorbill (ssp. torda)"	"A"	0	"underart"	3350	NA	"NT"	"VU"	NA	NA	NA	NA	NA	NA	2000	NA	NA	NA	NA	NA	0
3721	NA	"10201"	"10200"	"Hvid Vipstjert (ssp. alba)"	"Motacilla alba alba"	"White Wagtail (ssp. alba)"	"A"	0	"underart"	7200	NA	"LC"	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3722	NA	"11461"	"11460"	"Stenpikker (ssp. oenanthe)"	"Oenanthe oenanthe oenanthe"	"Northern Wheatear (ssp. oenanthe)"	"A"	0	"underart"	6680	NA	"LC"	"VU"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4"	"10"	"V"	0
3723	"15170"	"15170"	"15170"	"Langhalet Tornskade"	"Lanius schach"	"Long-tailed Shrike"	"AU"	0	"art"	5100	NA	"LC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
3726	NA	"01664"	NA	"Canadagås x Bramgås (hybrid)"	"Branta canadensis x B. leucopsis"	"Canada Goose x Barnacle Goose"	"H"	0	"hybrid"	230	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
